Títulos,Precios,M2,Planta,Baños,Habitaciones,Calefacción,AireAC,Ascensor,Enlace
Piso de 105 m² con ascensor en Calle de Doña Juana I de Castilla/ San Blas ,495.000 €,105 m²,Bajos,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-zona-comunitaria-ascensor-piscina/165265750/d?from=list
Ático de 266 m² con terraza en Avenida de América/ Barrio de Salamanca ,1.375.000 €,266 m²,12ª Planta,3 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-parking-internet-piscina/164099655/d?from=list
Piso de 75 m² con terraza en Calle de Los Sagrados Corazones/ Latina ,242.000 €,75 m²,3ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-zona-comunitaria-ascensor-no-amueblado/165574004/d?from=list
Sin título,Sin información,Sin información,Sin información,Sin información,Sin información,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.eshttps://ad.doubleclick.net/ddm/clk/528093836;336265914;s
Ático de 93 m² con piscina en Calle de Talamanca del Jarama/ Villa de Vallecas ,355.000 €,93 m²,5ª Planta,2 baños,2 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-patio-piscina-amueblado-se-aceptan-mascotas-internet-piscina/165080890/d?from=list
Piso de 109 m² con terraza en Retiro ,440.000 €,109 m²,2ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/165600028/d?from=list
Piso en Cruz Verde/ 6/ Centro ,200.000 €,40 m²,4ª Planta,1 baño,1 hab.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-amueblado-television/165233047/d?from=list
Piso de 58 m² con terraza en C. de Vallehermoso/ Chamberí ,365.000 €,58 m²,Bajos,1 baño,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-trastero-ascensor-amueblado/164762044/d?from=list
Piso de 67 m² con terraza en Calle Lérida/ Tetuán ,289.000 €,67 m²,Bajos,1 baño,Sin información,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-patio-piscina/165574401/d?from=list
Piso de 126 m² con terraza en Gran Vía de Hortaleza/ Hortaleza ,550.000 €,126 m²,1ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-trastero-zona-comunitaria-ascensor-patio-piscina/165573074/d?from=list
Piso de 82 m² con ascensor en C. de Alonso Cano/ Chamberí ,475.000 €,82 m²,4ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-trastero-ascensor-no-amueblado/163777540/d?from=list
Piso de 232 m² con terraza en De O'donnell/ Barrio de Salamanca ,2.700.000 €,232 m²,3ª Planta,5 baños,4 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor/165489824/d?from=list
Piso de 135 m² con balcón en C. de Toledo/ Centro ,729.000 €,135 m²,2ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-no-amueblado/162733862/d?from=list
Piso de 88 m² con ascensor en Serrano / Chamartín ,640.000 €,88 m²,7ª Planta,2 baños,1 hab.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor-no-amueblado/164141552/d?from=list
Piso de 158 m² con ascensor en Calle de Goya/ Barrio de Salamanca ,1.840.000 €,158 m²,4ª Planta,3 baños,2 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/164943408/d?from=list
Piso de 62 m² con ascensor en Avenida de Bonn/ Barrio de Salamanca ,335.000 €,62 m²,Entresuelo,1 baño,2 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/163067347/d?from=list
Piso de 54 m² con aire acondicionado en Calle de Santa Casilda/ Arganzuela ,235.000 €,54 m²,Bajos,1 baño,2 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/164662716/d?from=list
Piso de 525 m² con terraza en Calle de Los Hermanos Pinzón/ Chamartín ,3.100.000 €,525 m²,5ª Planta,5 baños,5 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-internet/163668674/d?from=list
Piso en Calle Amalia/ S/n/ Tetuán ,349.000 €,85 m²,2ª Planta,2 baños,4 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-se-aceptan-mascotas-no-amueblado/165009490/d?from=list
Piso en Calle de Guzmán el Bueno/ 42/ Chamberí ,263.000 €,51 m²,4ª Planta,1 baño,2 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/165198092/d?from=list
Piso de 100 m² con terraza en Narváez/ Retiro ,630.000 €,100 m²,2ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-zona-comunitaria-ascensor-television-no-amueblado/164029618/d?from=list
Piso de 78 m² con ascensor en Chamberí ,550.000 €,78 m²,3ª Planta,1 baño,1 hab.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-no-amueblado/165518961/d?from=list
Piso de 55 m² con ascensor en Calle de Rodríguez San Pedro/ Chamberí ,260.000 €,55 m²,6ª Planta,1 baño,1 hab.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/164416949/d?from=list
Piso de 305 m² con aire acondicionado en Calle de Castelló/ Barrio de Salamanca ,2.375.000 €,305 m²,1ª Planta,4 baños,4 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero/163716557/d?from=list
Piso de 70 m² con ascensor en De Rosario Romero/ Tetuán ,360.000 €,70 m²,2ª Planta,1 baño,2 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado/165602456/d?from=list
Piso de 75 m² con terraza en Calle Jerónima Llorente/ Tetuán ,275.000 €,75 m²,4ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-ascensor/165096435/d?from=list
Piso de 105 m² con terraza en Calle del General Ampudia/ Chamberí ,615.000 €,105 m²,Bajos,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/165312285/d?from=list
Piso en Calle de Justo Dorado/ 9/ Moncloa - Aravaca ,750.000 €,127 m²,3ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor-piscina-parking/165158091/d?from=list
Piso de 96 m² con ascensor en Calle de Alberto Bosch/ Retiro ,695.000 €,96 m²,1ª Planta,2 baños,2 habs.,Sin calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-ascensor/163283539/d?from=list
Ático de 79 m² con piscina en Bretón de Los Herreros/ Chamberí ,519.900 €,79 m²,Sin información,1 baño,1 hab.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-piscina-piscina-no-amueblado/165600738/d?from=list
Ático de 171 m² con ascensor en Centro ,1.195.000 €,171 m²,7ª Planta,3 baños,4 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/165570848/d?from=list
Piso de 168 m² con terraza en Calle de Alcalá/ Barrio de Salamanca ,999.000 €,168 m²,3ª Planta,3 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-se-aceptan-mascotas-internet-no-amueblado/165499697/d?from=list
Piso en San Pedro de Cardeña/ 4/ Hortaleza ,190.700 €,78 m²,6ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/165407875/d?from=list
Piso en Calle Calle de Joaquín María López/ 22/ Chamberí ,610.000 €,124 m²,1ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-ascensor-no-amueblado/164971984/d?from=list
Sin título,Sin información,Sin información,Sin información,Sin información,Sin información,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.eshttps://track.adform.net/C/?bn=56498395
Piso de 57 m² con terraza en Calle de Medellín/ Chamberí ,397.000 €,57 m²,4ª Planta,1 baño,1 hab.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/165278146/d?from=list
Piso de 62 m² con aire acondicionado en Calle de Elda/ Villaverde ,132.260 €,62 m²,Bajos,1 baño,3 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero/165010271/d?from=list
Ático de 100 m² con terraza en Chamberí ,1.150.000 €,100 m²,6ª Planta,2 baños,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-amueblado/164495890/d?from=list
Loft de 163 m² con terraza en Calle de Amós de Escalante/ Ciudad Lineal ,499.000 €,163 m²,Bajos,2 baños,1 hab.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-no-amueblado/164451501/d?from=list
Piso de 86 m² con ascensor en Avenida de Menéndez Pelayo/ Retiro ,455.000 €,86 m²,5ª Planta,2 baños,4 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-trastero-ascensor/165571273/d?from=list
Piso de 89 m² con ascensor en Chamartín ,515.000 €,89 m²,6ª Planta,2 baños,3 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/165585637/d?from=list
Piso de 83 m² con terraza en Calle de Cartagena/ Barrio de Salamanca ,415.000 €,83 m²,1ª Planta,1 baño,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor/165209438/d?from=list
Piso de 153 m² con ascensor en Paseo de la Reina Cristina/ Retiro ,660.000 €,153 m²,8ª Planta,2 baños,4 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-ascensor/165410806/d?from=list
Piso de 88 m² con aire acondicionado en Fuencarral - El Pardo ,335.000 €,88 m²,Bajos,2 baños,2 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/165359823/d?from=list
Piso de 166 m² con terraza en Calle de la Fuente del Berro/ Barrio de Salamanca ,685.000 €,166 m²,Bajos,3 baños,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/165119974/d?from=list
Piso de 110 m² con piscina en Sebastian Elcano/ Arganzuela ,585.000 €,110 m²,4ª Planta,2 baños,2 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-patio-piscina-amueblado/163193396/d?from=list
Piso de 75 m² con balcón en Calle Jerónima Llorente/ Tetuán ,275.000 €,75 m²,4ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-internet/165005252/d?from=list
Piso de 103 m² con piscina en Avenida de Andalucía/ Usera ,290.000 €,103 m²,6ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-jardin-trastero-zona-comunitaria-ascensor-piscina-parking-piscina/165539054/d?from=list
Piso de 82 m² con ascensor en Virgen de Lluc/ Ciudad Lineal ,320.000 €,82 m²,Sin información,2 baños,2 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor-no-amueblado/165344758/d?from=list
Piso de 200 m² con terraza en Calle de Cea Bermúdez/ Chamberí ,825.000 €,200 m²,3ª Planta,4 baños,5 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/165103988/d?from=list
Piso de 167 m² con ascensor en Fuencarral - El Pardo ,990.000 €,167 m²,1ª Planta,3 baños,4 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-zona-comunitaria-ascensor-piscina/164905214/d?from=list
Piso de 209 m² con piscina en Arturo Soria/ Ciudad Lineal ,1.150.000 €,209 m²,+15 Planta,3 baños,4 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-piscina-no-amueblado/162383939/d?from=list
Piso de 140 m² con ascensor en Fuencarral - El Pardo ,455.000 €,140 m²,13ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-ascensor/165496756/d?from=list
Piso de 60 m² con ascensor en Calle Alenza/ Chamberí ,395.000 €,60 m²,Sin información,2 baños,2 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-patio-amueblado/165237526/d?from=list
Piso de 167 m² con balcón en Retiro ,675.000 €,167 m²,1ª Planta,2 baños,3 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-no-amueblado/165042621/d?from=list
Piso de 68 m² con piscina en Hortaleza ,288.000 €,68 m²,Sin información,1 baño,1 hab.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-zona-comunitaria-ascensor-piscina-piscina/165396215/d?from=list
Piso de 76 m² con aire acondicionado en Calle Duque de Sesto/ Barrio de Salamanca ,665.000 €,76 m²,4ª Planta,2 baños,2 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/162928592/d?from=list
Piso de 83 m² con 1 baño en Santa Maria de la Cabeza/ Arganzuela ,365.700 €,83 m²,6ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/chopera/164772758/d?from=list
Piso de 107 m² con ascensor en Padre Damian/ Chamartín ,769.200 €,107 m²,2ª Planta,2 baños,3 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-ascensor-piscina/165592221/d?from=list
Piso de 92 m² con terraza en Arganzuela ,277.000 €,92 m²,5ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/165572347/d?from=list
Piso de 60 m² con terraza en Vicálvaro ,190.000 €,60 m²,3ª Planta,1 baño,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor-no-amueblado/159131984/d?from=list
Piso de 124 m² con ascensor en Calle de Meléndez Valdés/ Chamberí ,595.000 €,124 m²,1ª Planta,2 baños,6 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-internet/164892280/d?from=list
Piso de 89 m² con terraza en Calle de Linneo/ Arganzuela ,399.000 €,89 m²,2ª Planta,2 baños,2 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/164487119/d?from=list
Piso de 98 m² con ascensor en Chamartín ,690.000 €,98 m²,8ª Planta,2 baños,2 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor-no-amueblado/164925324/d?from=list
Casa adosada de 400 m² con piscina en Hortaleza ,1.350.000 €,400 m²,Sin información,4 baños,3 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-piscina-internet/164234494/d?from=list
Sin título,Sin información,Sin información,Sin información,Sin información,Sin información,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.eshttps://www.prygesa.es/venta-de-viviendas/las-rozas-el-cantizal?utm_source=banner_cantizal_native_promo&utm_medium=171&utm_campaign=mayo_22
Estudio de 40 m² con ascensor en Moncloa - Aravaca ,350.000 €,40 m²,Sin información,1 baño,Sin información,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/164674985/d?from=list
Piso de 96 m² con ascensor en Manoteras/ Hortaleza ,250.000 €,96 m²,Sin información,1 baño,1 hab.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-zona-comunitaria-ascensor-amueblado-parking/164831821/d?from=list
